,user_id,post_id,created_at,user_idx,post_idx,is_last,label
0,02160d7347444bd4861a44ade4af5e4b,01026765e5884d139793263f7b0fa154,2022-01-22T10:14:07,0,14,False,1
1,02160d7347444bd4861a44ade4af5e4b,1c9e54950a004ea9935bbf295f934d7a,2022-01-22T10:14:08,0,315,False,1
2,02160d7347444bd4861a44ade4af5e4b,4d3bc8cbeb0046dab592c7093cbd7356,2022-01-22T10:14:09,0,802,False,1
3,02160d7347444bd4861a44ade4af5e4b,5db6bbf84aee46ba9b3c3c6fdde04e58,2022-01-22T10:14:08,0,954,False,1
4,02160d7347444bd4861a44ade4af5e4b,7ee99a7aba3041f292f7b9ca607c489b,2022-01-22T10:14:06,0,1292,False,1
5,02160d7347444bd4861a44ade4af5e4b,7ef823a7127d4b95bef14fe911ccbe0a,2022-01-22T10:14:10,0,1294,True,1
6,02160d7347444bd4861a44ade4af5e4b,8bfcabb3e6a142b488aec4ab9c46d3db,2022-01-22T10:14:09,0,1421,False,1
7,02160d7347444bd4861a44ade4af5e4b,8c43b0ce92c84bcaa149e2a024137b1b,2022-01-22T10:14:10,0,1426,False,1
8,02160d7347444bd4861a44ade4af5e4b,8f832a2ba74a4c1f94c4be0e9833b1b2,2022-01-22T10:14:08,0,1466,False,1
9,02160d7347444bd4861a44ade4af5e4b,90503f58575d4477994b96afdb88b63c,2022-01-22T10:14:09,0,1474,False,1
10,02160d7347444bd4861a44ade4af5e4b,9212b262060b473e9f958e9c30857461,2022-01-22T10:14:07,0,1495,False,1
11,02160d7347444bd4861a44ade4af5e4b,9607e8e4f4ab4b8eb779471ed46d192d,2022-01-22T10:14:09,0,1541,False,1
12,02160d7347444bd4861a44ade4af5e4b,adaf5cdfbb4c47af95298bc4c9087106,2022-01-22T10:14:06,0,1767,False,1
13,02160d7347444bd4861a44ade4af5e4b,b4e3b554fca7425baec97e36241b9f14,2022-01-22T10:14:08,0,1846,False,1
14,02160d7347444bd4861a44ade4af5e4b,bfda4cefa196466c9698a1ee3e4f31c9,2022-01-22T10:14:06,0,1968,False,1
15,02160d7347444bd4861a44ade4af5e4b,c6038b04199840fea7d2d645ecdb93fd,2022-01-22T10:14:07,0,2039,False,1
16,02160d7347444bd4861a44ade4af5e4b,d80e5700a8ab403cbc861c5334d4d447,2022-01-22T10:14:06,0,2249,False,1
17,02160d7347444bd4861a44ade4af5e4b,e055b139dd78408ab6d55a9a71449be2,2022-01-22T10:14:10,0,2338,False,1
18,02160d7347444bd4861a44ade4af5e4b,f680508ca81f4fb1b9e321e5221783a0,2022-01-22T10:14:07,0,2569,False,1
19,0499a74ca60649ceb5c710157ed5b6b2,00dd2b9721b2427b9cedde5db7556818,2022-01-22T10:14:11,1,11,False,1
20,0499a74ca60649ceb5c710157ed5b6b2,0e02962e56a34799bc8031b6364e3337,2022-01-22T10:14:13,1,141,False,1
21,0499a74ca60649ceb5c710157ed5b6b2,29ab9641001a456a9a35055bc89b35b9,2022-01-22T10:14:12,1,445,False,1
22,0499a74ca60649ceb5c710157ed5b6b2,34f03e70eb564f5e9c8a9fb43eb673df,2022-01-22T10:14:14,1,558,False,1
23,0499a74ca60649ceb5c710157ed5b6b2,41e5e401a65b46c582999e0e55dd0993,2022-01-22T10:14:16,1,683,False,1
24,0499a74ca60649ceb5c710157ed5b6b2,427ffad87f8d4581ba24314fdf3724e4,2022-01-22T10:14:13,1,690,False,1
25,0499a74ca60649ceb5c710157ed5b6b2,60d8a9b512754b66be249ff367b79a0c,2022-01-22T10:14:16,1,983,False,1
26,0499a74ca60649ceb5c710157ed5b6b2,61b4c75f738244418de5b2fb3d4f408c,2022-01-22T10:14:11,1,995,False,1
27,0499a74ca60649ceb5c710157ed5b6b2,6e85c73f6a5e444cb8f98d2ec39198b2,2022-01-22T10:14:12,1,1110,False,1
28,0499a74ca60649ceb5c710157ed5b6b2,70ad1e4b45bf4120a2a4f72e1f1dcd50,2022-01-22T10:14:11,1,1131,False,1
29,0499a74ca60649ceb5c710157ed5b6b2,7e3ea7dd37ca42deb6e3fd22c83eb27d,2022-01-22T10:14:14,1,1285,False,1
30,0499a74ca60649ceb5c710157ed5b6b2,8b7fa11e38fc4ee69c31657f9914e3c8,2022-01-22T10:14:15,1,1413,False,1
31,0499a74ca60649ceb5c710157ed5b6b2,8bb1761f61eb418f974250f135bb543f,2022-01-22T10:14:17,1,1417,True,1
32,0499a74ca60649ceb5c710157ed5b6b2,9cd36934ec0749e8a9f49d0dd00d366e,2022-01-22T10:14:16,1,1602,False,1
33,0499a74ca60649ceb5c710157ed5b6b2,a724741d38f642849c451b543b3a935c,2022-01-22T10:14:14,1,1708,False,1
34,0499a74ca60649ceb5c710157ed5b6b2,b4826b5b37894a95bcbf43922ed96359,2022-01-22T10:14:15,1,1842,False,1
35,0499a74ca60649ceb5c710157ed5b6b2,c11cb5f431174d688ebb2d0e5ac9021e,2022-01-22T10:14:13,1,1987,False,1
36,0499a74ca60649ceb5c710157ed5b6b2,cf6e61da8f0e438889de1fbd9b179cc7,2022-01-22T10:14:12,1,2150,False,1
37,0499a74ca60649ceb5c710157ed5b6b2,d0438459c7794d13be2c8190870d900c,2022-01-22T10:14:15,1,2158,False,1
38,0499a74ca60649ceb5c710157ed5b6b2,d14f15b487bc4e278df6407c2cacf764,2022-01-22T10:14:13,1,2169,False,1
39,0499a74ca60649ceb5c710157ed5b6b2,d2d8b00bab444725b9dddfe340c3383b,2022-01-22T10:14:15,1,2186,False,1
40,0499a74ca60649ceb5c710157ed5b6b2,d42f4991dd614f8eb511b91bef489ab6,2022-01-22T10:14:11,1,2205,False,1
41,0499a74ca60649ceb5c710157ed5b6b2,ddbc11f9deb44b538787dd789d2f3aa0,2022-01-22T10:14:17,1,2310,False,1
42,0499a74ca60649ceb5c710157ed5b6b2,ed1a42d23a664a5d9f93eb2bf515ffea,2022-01-22T10:14:16,1,2471,False,1
43,0499a74ca60649ceb5c710157ed5b6b2,f59abae6860948cca2a8a9b3ea16f927,2022-01-22T10:14:14,1,2558,False,1
44,0499a74ca60649ceb5c710157ed5b6b2,fce5019611f94d75bb5e8c62a410f259,2022-01-22T10:14:12,1,2622,False,1
45,05bdd3fc5ea843d1aa31286e18b2ae21,01d1a0ae276640ef94b9684efdaec15b,2022-01-22T10:14:28,2,25,True,1
46,05bdd3fc5ea843d1aa31286e18b2ae21,08b334ed6b0d424a8706f2023a6f440c,2022-01-22T10:14:19,2,90,False,1
47,05bdd3fc5ea843d1aa31286e18b2ae21,0b2d8355a35e4546adf904efa10beb9b,2022-01-22T10:14:21,2,113,False,1
48,05bdd3fc5ea843d1aa31286e18b2ae21,1128042b8c3d4bb58332a0d0d7331b67,2022-01-22T10:14:19,2,181,False,1
49,05bdd3fc5ea843d1aa31286e18b2ae21,1c00e761c04f466eb1e485a2537abdc1,2022-01-22T10:14:20,2,303,False,1
